Date,commodity1,commodity2,zscore,signal,status,buy price,sell price,mtm,pnl,Cointegration test
2015-04-23,113.75,128.95,-1.9196064058218703,,,,,,77000.00000000003,No
2015-04-24,112.75,128.75,-2.4869829278072904,,,,,,77000.00000000003,No
2015-04-27,116.2,131.95,-1.3213224248423912,,,,,,77000.00000000003,No
2015-04-28,116.15,133.5,-2.2245696786213895,,,,,,77000.00000000003,No
2015-04-29,118.2,131.75,0.4378466951498524,,,,,,77000.00000000003,No
2015-04-30,119.5,133.65,0.2555901484081737,,,,,,77000.00000000003,No
2015-05-01,122.05,135.65,1.026839862142872,,,,,,77000.00000000003,No
2015-05-04,121.65,136.05,0.44350556118405376,,,,,,77000.00000000003,No
2015-05-05,121.25,135.4,0.6368124363333152,,,,,,77000.00000000003,No
2015-05-06,124.6,137.35,1.9134825054017626,,,,,,77000.00000000003,No
2015-05-07,121.85,133.15,2.244881847343045,,,,,,77000.00000000003,No
2015-05-08,119.9,133.35,0.4748623195546703,,,,,,77000.00000000003,No
2015-05-11,119.5,130.55,1.6617635217052997,,,,,,77000.00000000003,No
2015-05-12,119.1,128.6,2.199116640150823,,,,,,77000.00000000003,No
2015-05-13,120.6,132.2,0.7563958897028826,,,,,,77000.00000000003,No
2015-05-14,119.3,129.25,1.6338568318276512,,,,,,77000.00000000003,No
2015-05-15,116.95,124.3,2.929078086699375,,,,,,77000.00000000003,No
2015-05-18,116.25,125.25,1.09597234173972,,,,,,77000.00000000003,No
2015-05-19,114.35,124.85,-0.02126076543023711,,,,,,77000.00000000003,No
2015-05-20,112.8,123.6,-0.5069860712624524,,,,,,77000.00000000003,No
2015-05-21,111.85,122.95,-0.8528366044440271,,,,,,77000.00000000003,No
2015-05-22,111.0,125.2,-2.9311812203627716,,,,,,77000.00000000003,No
2015-05-25,110.3,123.1,-1.5562979205012872,,,,,,77000.00000000003,No
2015-05-26,110.3,122.95,-1.2043274572941693,,,,,,77000.00000000003,No
2015-05-27,110.15,123.65,-1.402753728688608,,,,,,77000.00000000003,No
2015-05-28,109.05,124.2,-1.9559241543093715,,,,,,77000.00000000003,No
2015-05-29,112.5,127.1,-1.1108488502566085,,,,,,77000.00000000003,No
2015-06-01,110.1,124.45,-1.0147381631982946,,,,,,77000.00000000003,No
2015-06-02,111.0,123.05,0.5220391246444663,,,,,,77000.00000000003,No
2015-06-03,110.2,122.9,0.22776225111617335,,,,,,77000.00000000003,No
2015-06-04,111.3,124.95,-0.2106613354278455,,,,,,77000.00000000003,No
2015-06-05,110.7,123.45,0.8575185044503939,,,,,,77000.00000000003,No
2015-06-08,110.95,122.05,2.4491688066185384,,,,,,77000.00000000003,No
2015-06-09,110.75,122.5,1.2655709572407656,,,,,,77000.00000000003,No
2015-06-10,110.85,123.45,0.45267954190841786,,,,,,77000.00000000003,No
2015-06-11,110.85,122.75,0.9250720705992171,,,,,,77000.00000000003,No
2015-06-12,110.45,119.3,3.6892768895762678,,,,,,77000.00000000003,No
2015-06-15,110.05,119.25,2.0543320563102028,,,,,,77000.00000000003,No
2015-06-16,108.35,116.1,2.5964761143785244,,,,,,77000.00000000003,No
2015-06-17,107.75,114.9,2.1576076132267237,,,,,,77000.00000000003,No
2015-06-18,107.55,115.35,1.2894288384330135,,,,,,77000.00000000003,No
2015-06-19,106.75,114.4,1.1238089986859365,,,,,,77000.00000000003,No
2015-06-22,105.75,113.0,1.118672166562084,,,,,,77000.00000000003,No
2015-06-23,106.2,111.5,2.0396626892656697,,,,,,77000.00000000003,No
2015-06-24,107.55,113.35,1.3703707528145954,,,,,,77000.00000000003,No
2015-06-25,106.85,113.0,0.9922862841183775,,,,,,77000.00000000003,No
2015-06-26,107.2,113.45,0.893337912901589,,,,,,77000.00000000003,No
2015-06-29,106.15,112.25,0.8106192324357981,,,,,,77000.00000000003,No
2015-06-30,107.65,113.9,0.5986488027037613,,,,,,77000.00000000003,No
2015-07-01,106.65,112.3,1.1483855698431744,,,,,,77000.00000000003,No
2015-07-02,109.25,113.85,2.397544096313454,,,,,,77000.00000000003,No
2015-07-03,108.3,113.05,1.6440941761689443,,,,,,77000.00000000003,No
2015-07-06,107.45,112.15,1.4462745999464794,,,,,,77000.00000000003,No
2015-07-07,106.05,111.9,-0.5497411573121362,,,,,,77000.00000000003,No
2015-07-08,104.9,109.75,0.980291143721623,,,,,,77000.00000000003,No
2015-07-09,105.0,113.0,-3.7956863333661626,,,,,,77000.00000000003,No
2015-07-10,106.15,115.1,-3.1458164917242137,,,,,,77000.00000000003,No
2015-07-13,106.15,113.7,-1.128087094351565,,,,,,77000.00000000003,No
2015-07-14,107.0,117.05,-2.5459996280067316,,,,,,77000.00000000003,No
2015-07-15,106.25,116.95,-2.1906071754105643,,,,,,77000.00000000003,No
2015-07-16,106.95,118.15,-1.8173635506717167,,,,,,77000.00000000003,No
2015-07-17,106.9,116.0,-0.5893529951975016,,,,,,77000.00000000003,No
2015-07-20,105.9,115.9,-0.8829993752714482,,,,,,77000.00000000003,No
2015-07-21,105.2,115.05,-0.6832491885052763,,,,,,77000.00000000003,No
2015-07-22,103.45,112.95,-0.4196746164485396,,,,,,77000.00000000003,No
2015-07-23,103.4,112.05,0.5951235011250126,,,,,,77000.00000000003,Yes
2015-07-24,102.15,109.9,1.588291876467312,,,,,,77000.00000000003,Yes
2015-07-27,103.25,109.5,2.9257043576982897,Sell,Sell,109.5,103.25,,77000.00000000003,Yes
2015-07-28,103.35,108.5,3.196896866715398,Sell,Sell,109.5,103.25,-5499.999999999972,77000.00000000003,Yes
2015-07-29,103.9,109.75,1.6730875349943508,,CB,,,-2000.0000000000282,75000.0,No
2015-07-30,103.85,109.1,1.6713101502844279,,,,,,75000.0,No
2015-07-31,104.7,110.4,1.1454930069444595,,,,,,75000.0,No
2015-08-03,102.9,109.1,0.60760976885494,,,,,,75000.0,No
2015-08-04,102.55,109.4,0.04807683934445055,,,,,,75000.0,Yes
2015-08-05,102.35,111.1,-1.5018023401630303,,,,,,75000.0,Yes
2015-08-06,100.9,109.45,-1.6293087368867205,,,,,,75000.0,Yes
2015-08-07,100.55,108.9,-1.4671696392582196,,,,,,75000.0,Yes
2015-08-10,100.35,110.05,-2.320813990316466,,,,,,75000.0,No
2015-08-11,101.85,112.25,-2.0292776201352543,,,,,,75000.0,No
2015-08-12,101.15,110.4,-0.9870706011027195,,,,,,75000.0,No
2015-08-13,102.3,113.5,-1.8254697136096814,,,,,,75000.0,No
2015-08-14,101.7,113.55,-1.907272219368918,,,,,,75000.0,No
2015-08-17,101.5,114.1,-2.0353184399571527,,,,,,75000.0,No
2015-08-18,101.25,112.55,-0.946378571421353,,,,,,75000.0,No
2015-08-19,100.75,110.25,0.4480034402106277,,,,,,75000.0,Yes
2015-08-20,100.5,110.7,-0.012726509481502224,,,,,,75000.0,Yes
2015-08-21,101.8,111.75,0.44779509375376797,,,,,,75000.0,Yes
2015-08-24,101.45,113.05,-0.9810034542740499,,,,,,75000.0,Yes
2015-08-25,101.1,111.2,0.6380037679819204,,,,,,75000.0,Yes
2015-08-26,101.95,110.8,1.9170074049489176,Sell,Sell,110.8,101.95,,75000.0,Yes
2015-08-27,100.3,108.35,2.355020798303093,Sell,Sell,110.8,101.95,-3999.9999999999854,75000.0,Yes
2015-08-28,101.6,110.65,1.03783975524149,,Sell,110.8,101.95,1000.0000000000854,75000.0,Yes
2015-08-31,106.8,115.4,1.525921737103734,,CB,,,-1249.9999999999272,73750.00000000007,No
2015-09-01,107.15,115.95,1.2092057467869055,,,,,,73750.00000000007,Yes
2015-09-02,106.55,114.95,1.3319662942838435,,,,,,73750.00000000007,No
2015-09-03,106.1,113.8,1.6711427975240756,,,,,,73750.00000000007,No
2015-09-04,107.8,113.35,3.1619822604752312,,,,,,73750.00000000007,No
